projectid,title
fff5d11155a3d8e8c56a41fb2e79912c,Time to Sharpen our Minds...and our Pencils! 
fff2f8b3170013ecf9ee7304c7b0d6d7,Library Haven
ffee6ea9852303462f00459433835c6c,Protect the Tech
ffeaa729660943084cf5612ebc6084fb,1930s Videos and CDs for AcaDeca Team
ffe867ea43b7677542d270e7994fecad,Of Course You Can Play!
ffe787d47956a6a506deb6f63ee35ffe,Recording to Rock!
ffe6f1c146c0ae19eba2482b95e5a61f,Imagination Station
ffdeb6b3803d341d19d1d9fd2f327880,"Concentrate
ffcfac8b6bec20f21fcc71a751777d59,"UnfoldingThe Magic Of Decoding Is A ""Leap"" Away!"
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,Making Teachers MOBILE!
ffab071101de4dd0cb48c2779428fcba,Help Fourth Graders Learn About Weather
ff9f3c6267deffd31c5370119aff0e7f,Need the T in STEM
ff922bf5da4a8e386ebbab5dc0925859,Faux Stained Glass!
ff7ee86d75a0165ed6dcc28d360f82b7,Technology To Create Lifelong Readers!
ff68ab2a3d294ebec564cc5ba9132c9c,Fifth Graders Wanting To Flip Out
ff58292df1db84687dc7dc0ba5cb63af,Audubon Tech Poets - Adobe Youth Voices Creating with Purpose
ff5761a3d99efeccd5283b77f8493c01,Bluebonnets and Bagels
ff54fc6c0b2c2ae18722f553f2978d3c,Common Core First!
ff528fc3198462e02ed37a7190902f9f,World War I and II in Action
ff51c8b375e1c37b36cfa47ed7b4636e,Character Counts
ff42a8644d5e500d0d399b9a933abccc,A trip to the Zoo will make us ROAR!
ff3b6aeb679f0668f23f63c6f7ed17c0,"Waste Not
ff3353a4502a2a2e462086130b285640,Enhancing Learning Through the Use of Today's Technology!
ff3229db573c8be585e10c8fb1bf8db5,Books Needed for Early Language Learners
ff258d0f99fec4950c4651992322f756,Color Printer for Autism Classroom
ff1e15ed84cc653844ee8741fdab00e1,Future Scientists of America
ff18a7fc92987752c9b559fbeac8f896,Publishing Station/Listening Station Needed!
ff171017fbb478be0f586b0fb4b84c39,A Mind's Window:  Words
ff0e3242b5c4b03e1b49b3761478bdab,Scholars in Need of Books and Essential Classroom Tools.
ff0dd66b032f4f7e99487fbaedb39dd4,Dr. Fisher's Goldfish Need Projection Camera
ff01a126eac177e346fa4ebc2b131a33,Materials Needed for a Developing Music Program
fef5bfe16821dad4d3a1c49957f23ede,GKHS Library Needs Updated Nonfiction Books
fee5be385192cbd79c3d71b317d604a1,Workers Bees All Around
fee32eeac09954a748672071c4842abe,Learning to Read through Phonemic Awareness
fedff2ee58bea56b0276440b88931677,Drama Class Desperate for Scripts!
fede33aaf219e7b6abcdb8b866debfe9,Improving Guided Reading!
fed22c08c185643dff2901cbba47ce6e,Listen and Read  
febd4ff8f19e89e4159fec18d5f04fbc,"Books
feb51da44bc664269e95db311afe6c2e,Study Skills = Success in School!
feb122de5b9eb43adc3ff4bfce5444f5,Are You Kidding?  When Do I Have Time to Teach All of This?
fea6f994b117104baa02086fd74236d1,Have Fun With Math And Science!!!
fe8d34db3c88fc4ada21dc17900f22c9,Inspiring Literacy One Book at a Time
fe8aabf5b387327057e3b927d36e9285,Illustrating Nature From Scientific Point Of View
fe8a08a154ca5a7776005fac4f4452b5,A Window to the World in a Windowless Classroom
fe7f421df69f2a45c90d15ff9be61088,Math in Minutes & Beat the Clock
fe7d8e68c1ae5643cc36bac2da8e1d7b,Building Literacy in 2nd Grade
fe78de9024924516b64f04bdb9b86503,Extra Fun Will Motivate Students to Want to Learn!
