projectid,<nn>essay</nn>
fff5d11155a3d8e8c56a41fb2e79912c,<ppl>``</ppl> <prps>My</prps> <nns>students</nns> <vbp>need</vbp> <det>a</det> <jj>good</jj> <nn>pencil</nn> <nn>sharpener</nn>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>Close</nnp> <prps>your</prps> <nns>eyes</nns> <cc>and</cc> <vb>think</vb> <in>about</in> <prps>your</prps> <jj>favorite</jj> <nn>place</nn> <to>to</to> <vb>read</vb> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>Is</nnp> <prp>it</prp> <det>a</det> <nn>comfy</nn> <nn>area</nn> <in>with</in> <nns>pillows</nns> <wrb>where</wrb> <prp>you</prp> <vbp>are</vbp> <vbn>surrounded</vbn> <in>by</in> <nns>books</nns> <pp>?</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<det>This</det> <vbz>is</vbz> <det>the</det> <nn>place</nn> <prp>I</prp> <vbp>want</vbp> <to>to</to> <vb>create</vb> <in>for</in> <prps>my</prps> <nns>students</nns> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>\n</nnp> <nnp>\nMy</nnp> <jj>second</jj> <nn>grade</nn> <nns>students</nns> <vbp>love</vbp> <to>to</to> <vb>read</vb> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<prp>They</prp> <vbp>are</vbp> <rb>constantly</rb> <vbg>asking</vbg> <to>to</to> <vb>borrow</vb> <nns>books</nns> <in>from</in> <prps>my</prps> <nn>classroom</nn> <nn>library</nn> <in>since</in> <prp>we</prp> <vbp>have</vbp> <det>no</det> <nn>school</nn> <nn>library</nn> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<in>During</in> <nn>reading</nn> <nn>time</nn> <det>the</det> <nns>students</nns> <cc>either</cc> <vb>sit</vb> <in>in</in> <prps>their</prps> <nns>seats</nns> <cc>or</cc> <vb>find</vb> <det>a</det> <nn>spot</nn> <in>on</in> <det>the</det> <nn>carpet</nn> <rb>somewhere</rb> <in>in</in> <det>the</det> <nn>classroom</nn> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>Bean</nnp> <nn>bag</nn> <nns>chairs</nns> <md>would</md> <vb>be</vb> <det>a</det> <jj>great</jj> <nn>addition</nn> <to>to</to> <prps>our</prps> <rb>ever</rb> <vbg>growing</vbg> <nn>library</nn> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>\n</nnp> <nnp>\nAdding</nnp> <cd>3</cd> <nn>bean</nn> <nn>bag</nn> <nns>chairs</nns> <to>to</to> <prps>our</prps> <nn>classroom</nn> <nn>library</nn> <md>will</md> <vb>allow</vb> <prp>us</prp> <to>to</to> <vb>enjoy</vb> <prp>it</prp> <rb>even</rb> <jjr>more</jjr> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<det>The</det> <nn>bean</nn> <nn>bag</nn> <nns>chairs</nns> <md>will</md> <vb>allow</vb> <nns>students</nns> <to>to</to> <vb>read</vb> <rb>independently</rb> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<prp>They</prp> <md>will</md> <vb>be</vb> <jj>able</jj> <to>to</to> <vb>forget</vb> <in>about</in> <det>the</det> <nns>busyness</nns> <in>of</in> <det>the</det> <nn>day</nn> <to>to</to> <rb>fully</rb> <jj>immerse</jj> <prp>themselves</prp> <in>in</in> <det>the</det> <nn>literature</nn> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>\n</nnp> <nnp>\nMy</nnp> <nns>students</nns> <vbp>need</vbp> <cd>3</cd> <nn>bean</nn> <nn>bag</nn> <nns>chairs</nns> <to>to</to> <vb>add</vb> <to>to</to> <prps>their</prps> <jj>overall</jj> <nn>reading</nn> <nn>experience</nn> <cc>and</cc> <nn>enjoyment</nn> <pp>.</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<prp>I</prp> <vbp>want</vbp> <nns>students</nns> <to>to</to> <vb>be</vb> <jj>comfortable</jj> <cc>and</cc> <vb>enjoy</vb> <det>each</det> <cc>and</cc> <det>every</det> <nn>reading</nn> <nn>experience</nn> <in>that</in> <vbz>is</vbz> <vbn>provided</vbn> <pp>.</pp>
ffee6ea9852303462f00459433835c6c,<in>if</in> <prp>we</prp> <md>ca</md> <rb>n't</rb> <nn>share</nn> <det>the</det> <nn>work</nn> <in>that</in> <prp>we</prp> <vbp>create</vbp>
ffeaa729660943084cf5612ebc6084fb,<cc>and</cc> <jj>personal</jj> <pp>.</pp> <ppr>''</ppr>
ffe867ea43b7677542d270e7994fecad,<ppl>``</ppl> <det>That</det> <vbz>'s</vbz> <rb>not</rb> <jj>fair</jj> <ppr>''</ppr> <ppr>''</ppr> <vbz>is</vbz> <det>a</det> <nn>statement</nn> <in>that</in> <prp>I</prp> <vbp>hear</vbp> <rb>quite</rb> <rb>often</rb> <in>because</in> <rb>there</rb> <vbp>are</vbp> <rb>n't</rb> <jj>enough</jj> <nns>instruments</nns> <to>to</to> <vb>go</vb> <in>around</in> <pp>.</pp>
ffe867ea43b7677542d270e7994fecad,<nnp>\n</nnp> <nnp>\nThese</nnp> <nn>student</nn> <pos>'s</pos> <vbp>are</vbp> <jj>eager</jj> <to>to</to> <vb>learn</vb> <cc>and</cc> <jj>excited</jj> <det>each</det> <nn>time</nn> <prp>I</prp> <vbp>mention</vbp> <vbg>taking</vbg> <in>out</in> <nns>instruments</nns> <pp>.</pp>
ffe867ea43b7677542d270e7994fecad,<prp>They</prp> <vbp>enjoy</vbp> <jj>hands-on</jj> <nns>activities</nns> <cc>and</cc> <vbg>performing</vbg> <in>for</in> <prps>their</prps> <nns>classmates</nns> <pp>.</pp>
ffe867ea43b7677542d270e7994fecad,<prps>Our</prps> <nnp>Texas</nnp> <nn>school</nn> <vbz>is</vbz> <jj>Texas-sized</jj>
