projectid,<nn>title</nn>
fff5d11155a3d8e8c56a41fb2e79912c,<nnp>Time</nnp> <to>to</to> <vb>Sharpen</vb> <prps>our</prps> <nnp>Minds.and</nnp> <prps>our</prps> <nns>Pencils</nns> <pp>!</pp>
fff2f8b3170013ecf9ee7304c7b0d6d7,<nnp>Library</nnp> <nnp>Haven</nnp>
ffee6ea9852303462f00459433835c6c,<vb>Protect</vb> <det>the</det> <nnp>Tech</nnp>
ffeaa729660943084cf5612ebc6084fb,<cd>1930s</cd> <nns>Videos</nns> <cc>and</cc> <nns>CDs</nns> <in>for</in> <nnp>AcaDeca</nnp> <nnp>Team</nnp>
ffe867ea43b7677542d270e7994fecad,<in>Of</in> <nnp>Course</nnp> <prp>You</prp> <md>Can</md> <nnp>Play</nnp> <pp>!</pp>
ffe787d47956a6a506deb6f63ee35ffe,<nnp>Recording</nnp> <to>to</to> <nnp>Rock</nnp> <pp>!</pp>
ffe6f1c146c0ae19eba2482b95e5a61f,<nn>Imagination</nn> <nnp>Station</nnp>
ffdeb6b3803d341d19d1d9fd2f327880,<ppl>``</ppl> <vb>Concentrate</vb>
ffcfac8b6bec20f21fcc71a751777d59,<ppl>``</ppl> <nnp>UnfoldingThe</nnp> <nnp>Magic</nnp> <in>Of</in> <nnp>Decoding</nnp> <vbz>Is</vbz> <det>A</det> <ppl>``</ppl> <ppl>``</ppl> <nnp>Leap</nnp> <ppr>''</ppr> <ppr>''</ppr> <rb>Away</rb> <pp>!</pp> <ppr>''</ppr>
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,<vbg>Making</vbg> <nnps>Teachers</nnps> <nnp>MOBILE</nnp> <pp>!</pp>
ffab071101de4dd0cb48c2779428fcba,<nn>Help</nn> <jj>Fourth</jj> <nns>Graders</nns> <vbp>Learn</vbp> <rb>About</rb> <vb>Weather</vb>
ff9f3c6267deffd31c5370119aff0e7f,<nn>Need</nn> <det>the</det> <nn>T</nn> <in>in</in> <nnp>STEM</nnp>
ff922bf5da4a8e386ebbab5dc0925859,<jj>Faux</jj> <nnp>Stained</nnp> <nnp>Glass</nnp> <pp>!</pp>
ff7ee86d75a0165ed6dcc28d360f82b7,<nnp>Technology</nnp> <to>To</to> <vb>Create</vb> <jj>Lifelong</jj> <nns>Readers</nns> <pp>!</pp>
ff68ab2a3d294ebec564cc5ba9132c9c,<nnp>Fifth</nnp> <nns>Graders</nns> <vbg>Wanting</vbg> <to>To</to> <vb>Flip</vb> <in>Out</in>
ff58292df1db84687dc7dc0ba5cb63af,<nnp>Audubon</nnp> <nnp>Tech</nnp> <nnp>Poets</nnp> <pps>-</pps> <nnp>Adobe</nnp> <nnp>Youth</nnp> <nns>Voices</nns> <vbg>Creating</vbg> <in>with</in> <nn>Purpose</nn>
ff5761a3d99efeccd5283b77f8493c01,<nnp>Bluebonnets</nnp> <cc>and</cc> <nnp>Bagels</nnp>
ff54fc6c0b2c2ae18722f553f2978d3c,<nnp>Common</nnp> <nnp>Core</nnp> <nnp>First</nnp> <pp>!</pp>
ff528fc3198462e02ed37a7190902f9f,<nnp>World</nnp> <nnp>War</nnp> <nnp>I</nnp> <cc>and</cc> <nnp>II</nnp> <in>in</in> <nnp>Action</nnp>
ff51c8b375e1c37b36cfa47ed7b4636e,<nn>Character</nn> <nns>Counts</nns>
ff42a8644d5e500d0d399b9a933abccc,<det>A</det> <nn>trip</nn> <to>to</to> <det>the</det> <nn>Zoo</nn> <md>will</md> <vb>make</vb> <prp>us</prp> <nnp>ROAR</nnp> <pp>!</pp>
ff3b6aeb679f0668f23f63c6f7ed17c0,<ppl>``</ppl> <nnp>Waste</nnp> <rb>Not</rb>
ff3353a4502a2a2e462086130b285640,<vbg>Enhancing</vbg> <nnp>Learning</nnp> <in>Through</in> <det>the</det> <nn>Use</nn> <in>of</in> <nn>Today</nn> <pos>'s</pos> <nnp>Technology</nnp> <pp>!</pp>
ff3229db573c8be585e10c8fb1bf8db5,<nnp>Books</nnp> <vbd>Needed</vbd> <in>for</in> <nnp>Early</nnp> <nn>Language</nn> <nnp>Learners</nnp>
ff258d0f99fec4950c4651992322f756,<nnp>Color</nnp> <nn>Printer</nn> <in>for</in> <nnp>Autism</nnp> <nnp>Classroom</nnp>
ff1e15ed84cc653844ee8741fdab00e1,<nnp>Future</nnp> <nns>Scientists</nns> <in>of</in> <nnp>America</nnp>
ff18a7fc92987752c9b559fbeac8f896,<nnp>Publishing</nnp> <nnp>Station/Listening</nnp> <nnp>Station</nnp> <vbd>Needed</vbd> <pp>!</pp>
ff171017fbb478be0f586b0fb4b84c39,<det>A</det> <vb>Mind</vb> <vbz>'s</vbz> <nn>Window</nn> <pps>:</pps> <nns>Words</nns>
ff0e3242b5c4b03e1b49b3761478bdab,<nns>Scholars</nns> <in>in</in> <nn>Need</nn> <in>of</in> <nnp>Books</nnp> <cc>and</cc> <jj>Essential</jj> <nnp>Classroom</nnp> <nns>Tools</nns> <pp>.</pp>
ff0dd66b032f4f7e99487fbaedb39dd4,<nnp>Dr.</nnp> <nnp>Fisher</nnp> <pos>'s</pos> <nnp>Goldfish</nnp> <nn>Need</nn> <nn>Projection</nn> <nn>Camera</nn>
ff01a126eac177e346fa4ebc2b131a33,<nns>Materials</nns> <vbd>Needed</vbd> <in>for</in> <det>a</det> <vbg>Developing</vbg> <nn>Music</nn> <nn>Program</nn>
fef5bfe16821dad4d3a1c49957f23ede,<nnp>GKHS</nnp> <nnp>Library</nnp> <nns>Needs</nns> <vbn>Updated</vbn> <nn>Nonfiction</nn> <nns>Books</nns>
fee5be385192cbd79c3d71b317d604a1,<nnp>Workers</nnp> <nns>Bees</nns> <det>All</det> <in>Around</in>
fee32eeac09954a748672071c4842abe,<nnp>Learning</nnp> <to>to</to> <vb>Read</vb> <in>through</in> <nnp>Phonemic</nnp> <nn>Awareness</nn>
fedff2ee58bea56b0276440b88931677,<nn>Drama</nn> <nn>Class</nn> <jj>Desperate</jj> <in>for</in> <nns>Scripts</nns> <pp>!</pp>
fede33aaf219e7b6abcdb8b866debfe9,<nn>Improving</nn> <vbd>Guided</vbd> <nn>Reading</nn> <pp>!</pp>
fed22c08c185643dff2901cbba47ce6e,<vb>Listen</vb> <cc>and</cc> <nnp>Read</nnp>
febd4ff8f19e89e4159fec18d5f04fbc,<ppl>``</ppl> <nnp>Books</nnp>
feb51da44bc664269e95db311afe6c2e,<nnp>Study</nnp> <nns>Skills</nns> <sym>=</sym> <nnp>Success</nnp> <in>in</in> <nnp>School</nnp> <pp>!</pp>
feb122de5b9eb43adc3ff4bfce5444f5,<nnp>Are</nnp> <prp>You</prp> <vbg>Kidding</vbg> <pp>?</pp>
feb122de5b9eb43adc3ff4bfce5444f5,<wrb>When</wrb> <nnp>Do</nnp> <nnp>I</nnp> <nnp>Have</nnp> <nnp>Time</nnp> <to>to</to> <vb>Teach</vb> <det>All</det> <in>of</in> <det>This</det> <pp>?</pp>
fea6f994b117104baa02086fd74236d1,<nnp>Have</nnp> <nn>Fun</nn> <in>With</in> <nnp>Math</nnp> <cc>And</cc> <nnp>Science</nnp> <pp>!</pp> <pp>!</pp> <pp>!</pp>
fe8d34db3c88fc4ada21dc17900f22c9,<jj>Inspiring</jj> <nn>Literacy</nn> <cd>One</cd> <nn>Book</nn> <in>at</in> <det>a</det> <nnp>Time</nnp>
fe8aabf5b387327057e3b927d36e9285,<nnp>Illustrating</nnp> <nnp>Nature</nnp> <in>From</in> <nnp>Scientific</nnp> <nnp>Point</nnp> <in>Of</in> <nnp>View</nnp>
fe8a08a154ca5a7776005fac4f4452b5,<det>A</det> <nn>Window</nn> <to>to</to> <det>the</det> <nnp>World</nnp> <in>in</in> <det>a</det> <jj>Windowless</jj> <nnp>Classroom</nnp>
fe7f421df69f2a45c90d15ff9be61088,<nnp>Math</nnp> <in>in</in> <nnp>Minutes</nnp> <cc>&</cc> <nn>Beat</nn> <det>the</det> <nn>Clock</nn>
fe7d8e68c1ae5643cc36bac2da8e1d7b,<nnp>Building</nnp> <nn>Literacy</nn> <in>in</in> <cd>2nd</cd> <nnp>Grade</nnp>
fe78de9024924516b64f04bdb9b86503,<jj>Extra</jj> <nn>Fun</nn> <md>Will</md> <vb>Motivate</vb> <nns>Students</nns> <to>to</to> <vb>Want</vb> <to>to</to> <vb>Learn</vb> <pp>!</pp>
fe6e51a8b98a7b22b84d8547142c2198,<nnp>Young</nnp> <nn>Beginning</nn> <nns>Readers</nns>
fe64937edbdf2bfad91d716b17103993,<det>A</det> <nnp>Picture</nnp> <vbz>is</vbz> <nnp>Worth</nnp> <det>a</det> <nnp>Thousand</nnp> <nns>Words</nns>
fe6027c8fa6eaffdb41b3c1a8c442c9a,<nnp>Nooks</nnp> <in>for</in> <prps>Our</prps> <nn>Reading</nn> <nnp>Nook</nnp>
fe53571f88a1b2ce37c76df7016c2087,<nn>Help</nn> <nnp>Our</nnp> <nnp>Children</nnp> <nnp>NOT</nnp> <nn>Fall</nn> <in>Behind</in> <pp>!</pp>
fe513bcf9d202db85401f65e4ff193f6,<cd>5th</cd> <nnp>Grade</nnp> <nn>Dancing</nn> <in>at</in> <det>the</det> <nn>Music</nn> <nnp>Center</nnp> <pps>-</pps> <prp>We</prp> <vbp>Need</vbp> <det>a</det> <nn>Bus</nn> <pp>!</pp>
fe45863e55ffb801fed331d456f775f7,<nn>Help</nn> <prp>Me</prp> <vbp>Write</vbp> <pp>!</pp>
fe4437d288ea86e4a22c3e9bf4247232,<nn>iPad</nn> <nnp>Learning</nnp>
fe41516b9bc3e615f657f09b60105275,<ppl>``</ppl> <nnp>America</nnp>
fe3611442b4b1c07c652ab96e9d1c4f7,<nn>Mailbox</nn> <in>Of</in> <prps>My</prps> <jj>Own</jj>
fe3013f982b69a41241bf18fc6e11aeb,<nnp>Space</nnp> <nnp>Exploration</nnp> <pps>:</pps> <nnp>Building</nnp> <nnp>Telescopes</nnp>
fe2f19966113506c2a4139bcd23c3ff8,<jj>Hands-on</jj> <nnp>Learning</nnp> <nns>Needs</nns> <jj>Hands-on</jj> <nns>Materials</nns> <pp>!</pp>
fe23943118510c60c1f62b87fa797feb,<jj>Outdoor</jj> <nnp>Learning</nnp> <in>in</in> <nn>Pre-K</nn> <pps>:</pps> <det>An</det> <nnp>Interactive</nnp> <nnp>Garden</nnp>
fe21db52cdccfe7fb7059130fff74fc1,<jj>Special</jj> <nn>Kids-Special</nn> <nns>Needs</nns>
fe20746c15bc637446cff9e6e2a38e4f,<jj>Magnificent</jj> <nnp>Math</nnp> <nn>Fact</nn> <nns>Masters</nns>
fe1db3fdcf34d64e24c836de582556bb,<vbn>Focused</vbn> <nnp>Learning</nnp> <vbz>Brings</vbz> <nnp>Progress</nnp>
fe0613c0096ae2833bc78dc73ac0858d,<nnp>Digital</nnp> <nns>Cameras</nns> <to>To</to> <vb>Create</vb> <nnp>Digital</nnp> <nn>Yearbook</nn> <pp>!</pp>
fe06057393bcde039b55ef561af4ae52,<vbg>Winning</vbg> <det>The</det> <nn>Pencil</nn> <nnp>War</nnp>
fdfe1f85cfca54a5d85e6bd5fb0c723c,<nnp>Library</nnp> <nnp>Books</nnp> <prp>We</prp> <nnp>Love</nnp> <to>To</to> <vb>Read</vb>
fdfbb52e4327f8239c412ad9981a42b1,<nnp>Chugging</nnp> <in>Through</in> <nn>Chapter</nn> <nns>Books</nns>
fdeb6e72397f7e3a98c081f11288710b,<nn>Help</nn> <nn>Pre-K</nn> <vb>Get</vb> <nnp>Into</nnp> <nn>Shape</nn>
fde745a0ed4b7054511021a7660e97b2,<nnp>Illuminated</nnp> <nnp>Legal</nnp> <nnp>Vocabulary</nnp>
fdd89206b867da46d64ca3ba7db1a49c,<vbg>Buzzing</vbg> <in>With</in> <nn>Excitement</nn> <pp>!</pp>
fdcba659a91c2981e1dd87c960b11aa4,<vbg>Broadening</vbg> <jj>Musical</jj> <nnp>Horizons</nnp> <in>with</in> <nnp>Supplemental</nnp> <nn>Curriculum</nn> <pp>!</pp>
fdc99471cd90a17b6d1d6e720d762a39,<nnp>Perfect</nnp> <nnp>Pictures</nnp> <in>for</in> <nnp>Learning</nnp>
fdc2f95fb3f7b68752d9e2ce0d34d829,<vbg>Making</vbg> <nn>Music</nn> <in>With</in> <nnp>Technology</nnp>
fdc07b78c812bdb43df8241476706290,<vbg>Creating</vbg> <det>A</det> <nnp>Bridge</nnp> <in>Between</in> <nnp>Books</nnp> <cc>And</cc> <nnp>Technology</nnp>
fda702e46d04fe9ebc66a4f536a367f4,<nnp>Indian</nnp> <nn>Literature</nn> <nn>Unit</nn>
fda6e6cea7c73018f1863cc03cc2bdd9,<nnp>Technology</nnp> <vbz>Is</vbz> <det>The</det> <nn>Way</nn> <in>Of</in> <det>The</det> <jj>Future</jj>
fd85cf3cf2c01e9efe52e6521f5af5f2,<ppl>``</ppl> <md>Would</md> <prp>You</prp> <pp>?</pp>
fd85cf3cf2c01e9efe52e6521f5af5f2,<md>Could</md> <prp>You</prp> <vb>Help</vb> <prp>Us</prp>
fd7dc2efab7b13f9d5e87198a76223dd,<nnp>Technology</nnp> <in>on</in> <det>the</det> <nnp>Go</nnp>
fd75f8a8adbf1e4f230652568c7cfefe,<nnp>Yo</nnp> <nnp>No</nnp> <nnp>Comprendouuuuuu</nnp> <pp>.</pp>
fd75f8a8adbf1e4f230652568c7cfefe,<prp>I</prp> <vbp>Do</vbp> <rb>n't</rb> <vb>Understand</vb> <pp>!</pp> <pp>!</pp> <pp>!</pp>
